epoch,train_loss,train_acc,train_prec,train_rec,train_f1_macro,train_f1_weighted,val_loss,val_acc,val_prec,val_rec,val_f1_macro,val_f1_weighted
1,1.4375,0.2588,0.2437,0.2463,0.2263,0.2742,1.3942,0.2723,0.2672,0.2875,0.2359,0.2728
2,1.3615,0.3392,0.2598,0.2536,0.2526,0.3487,1.3443,0.3474,0.2684,0.2617,0.2468,0.3380
3,1.3168,0.3926,0.2672,0.2687,0.2630,0.3773,1.2868,0.4906,0.5330,0.3244,0.2980,0.4456
4,1.2485,0.4619,0.3053,0.3017,0.2924,0.4282,1.2598,0.5070,0.2881,0.3314,0.3040,0.4621
5,1.2339,0.4935,0.3036,0.3081,0.2914,0.4436,1.2322,0.5516,0.2957,0.3570,0.3130,0.4846
6,1.1893,0.5276,0.3510,0.3317,0.3162,0.4721,1.1891,0.5962,0.3219,0.3814,0.3374,0.5208
7,1.1416,0.5499,0.3628,0.3399,0.3181,0.4845,1.1468,0.6502,0.3634,0.4187,0.3694,0.5666
8,1.0804,0.5962,0.3981,0.3816,0.3588,0.5326,1.0656,0.6878,0.3864,0.4565,0.3996,0.6086
9,0.9992,0.6320,0.4527,0.4193,0.4012,0.5749,1.0074,0.6948,0.4402,0.4764,0.4206,0.6240
10,0.9187,0.6843,0.5387,0.4690,0.4528,0.6275,0.8956,0.7183,0.6995,0.4908,0.4438,0.6467
11,0.8799,0.6884,0.5625,0.4759,0.4612,0.6340,0.8447,0.7371,0.4895,0.5119,0.4632,0.6722
12,0.8328,0.7089,0.5674,0.4996,0.4879,0.6588,0.7600,0.7606,0.5296,0.5502,0.5217,0.7077
13,0.7613,0.7400,0.6268,0.5450,0.5421,0.7005,0.7311,0.7934,0.7644,0.6201,0.6153,0.7645
14,0.7192,0.7647,0.6818,0.5866,0.5964,0.7335,0.6820,0.8146,0.7550,0.6466,0.6452,0.7882
15,0.6756,0.7688,0.6830,0.5891,0.5995,0.7387,0.6167,0.8592,0.8145,0.7129,0.7247,0.8419
16,0.6264,0.7981,0.7008,0.6325,0.6428,0.7748,0.5589,0.8592,0.8326,0.7063,0.7186,0.8389
17,0.5951,0.8046,0.7088,0.6423,0.6541,0.7837,0.5000,0.8803,0.8555,0.7387,0.7487,0.8617
18,0.5654,0.8104,0.7003,0.6472,0.6588,0.7899,0.4813,0.9061,0.8670,0.7985,0.8144,0.8977
19,0.5260,0.8333,0.7596,0.6885,0.7036,0.8172,0.4445,0.8850,0.8425,0.7665,0.7808,0.8742
20,0.5082,0.8333,0.7449,0.6896,0.7047,0.8184,0.4247,0.9038,0.8575,0.7946,0.8087,0.8942
